reference_driver_code,comparison_driver_code,team,year,race_name,session_name,session_kind,matched_gap_median_s,matched_gap_se_s,n_matched_pairs,weather_bucket,skip_reason
ALB,SAI,Williams,2026,Australian Grand Prix,Race,race,0.26599999999999113,0.13167885069258503,25,dry,
ANT,RUS,Mercedes,2026,Australian Grand Prix,Race,race,0.07499999999998863,0.0753707687620608,37,dry,
BEA,OCO,Haas F1 Team,2026,Australian Grand Prix,Race,race,0.465999999999994,0.1415535575167416,31,dry,
BOT,PER,Cadillac,2026,Australian Grand Prix,Race,race,0.6730000000000018,0.9806290057136001,9,dry,
COL,GAS,Alpine,2026,Australian Grand Prix,Race,race,-0.7115000000000009,0.19099781872185406,20,dry,
HAM,LEC,Ferrari,2026,Australian Grand Prix,Race,race,0.09299999999999642,0.06872471480788668,32,dry,
LAW,LIN,Racing Bulls,2026,Australian Grand Prix,Race,race,-0.8164999999999978,0.1390230021718824,22,dry,
ALO,STR,Aston Martin,2026,Australian Grand Prix,Race,race,,,0,,insufficient_matched_pairs
BOR,HUL,Audi,2026,Australian Grand Prix,Race,race,,,0,,missing_lap_time_data
NOR,PIA,McLaren,2026,Australian Grand Prix,Race,race,,,0,,missing_lap_time_data
HAD,VER,Red Bull Racing,2026,Australian Grand Prix,Race,race,,,0,,insufficient_matched_pairs
ANT,RUS,Mercedes,2026,Australian Grand Prix,Qualifying,qualifying,-0.4480000000000075,0.356260804579847,3,dry,
BEA,OCO,Haas F1 Team,2026,Australian Grand Prix,Qualifying,qualifying,-0.07350000000000279,0.29246265823599055,6,dry,
BOR,HUL,Audi,2026,Australian Grand Prix,Qualifying,qualifying,0.5389999999999944,0.2146309068078454,4,dry,
COL,GAS,Alpine,2026,Australian Grand Prix,Qualifying,qualifying,-0.7189999999999941,0.2615172811581371,5,dry,
HAM,LEC,Ferrari,2026,Australian Grand Prix,Qualifying,qualifying,-0.15099999999999625,0.14558250843683443,3,dry,
LAW,LIN,Racing Bulls,2026,Australian Grand Prix,Qualifying,qualifying,1.0889999999999986,0.5773414936207659,3,dry,
NOR,PIA,McLaren,2026,Australian Grand Prix,Qualifying,qualifying,-0.19750000000000512,0.2708783036774154,4,dry,
ALO,STR,Aston Martin,2026,Australian Grand Prix,Qualifying,qualifying,,,0,,missing_lap_time_data
BOT,PER,Cadillac,2026,Australian Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
HAD,VER,Red Bull Racing,2026,Australian Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
ALB,SAI,Williams,2026,Australian Grand Prix,Qualifying,qualifying,,,0,,missing_lap_time_data
ANT,RUS,Mercedes,2026,Chinese Grand Prix,Race,race,0.0030000000000001137,0.07382218947856611,40,dry,
